Україна	2
жовтень	0
спортивний	1
вправа	-1
традиція	1
культурний	2
стати	1
війна	-2
спортсмен	1
підтримувати	1
силовий	1
тренування	1
організм	0
очікуватися	0
градус	0
нація	1
каша	0
український	1
світ	0
правильний	1
професійний	1
підлітка	0
сила	1
відчуття	2
покоління	1
спадщина	1
авдіївський	0
герой	2
концерт	1
вважати	1
варто	0
вага	0
тренер	0
робити	-1
рівень	0
неділя	1
приготування	0
елемент	0
місто	0
день	0
свято	2
перевірка	-1
захід	1
дитина	0
фізичний	0
необхідно	0
завдання	0
справа	0
сонячний	2
активність	0
погода	0
заморозка	-1
формувати	1
нематеріальний	0
країна	0
страва	1
історія	0
інсталяція	0
пам’ять	0
цінність	1
ТЦК	-2
документ	0
загроза	-1
західний	0
слово	0
Джонсон	1
представник	0
США	2
підліток	0
зашкодити	-1
розвиток	1
ризик	-1
заняття	0
виконання	0
підлітковий	0
знання	1
ріст	0
тканина	0
спорт	1
програма	0
наприклад	0
займатися	0
допомогти	1
підтримка	1
зосередитися	0
вирішення	0
високий	0
геомагнітний	0
буря	-2
к-індекс	0
Діденко	0
область	0
пісня	1
ментальний	0
здоров’я	1
безпека	2
родина	2
передаватися	0
ідентичність	0
створювати	0
